index,disease_name,description,Possible Steps,image_url
22,Khoai tây: Blight muộn,"Vật chủ chính là khoai tây, nhưng P. infestans cũng có thể lây nhiễm các cây solanaceous khác, bao gồm cà chua, petunias và nightshade lông, có thể đóng vai trò là nguồn gốc của khoai tây. Các triệu chứng đầu tiên của bệnh mờ ở cánh đồng là nhỏ, sáng màu xanh đậm, tròn đến các điểm nước không đều. Những tổn thương này thường xuất hiện đầu tiên trên lá dưới. Các tổn thương thường bắt đầu phát triển gần các đầu hoặc cạnh của lá, nơi Dew được giữ lại lâu nhất. Thời tiết ẩm ướt, mát mẻ, những tổn thương này mở rộng nhanh chóng thành các tổn thương lớn, nâu sẫm hoặc đen, thường xuất hiện nhờn. Tổn thương lá cũng thường được bao quanh bởi một quầng clo màu vàng","BLIGH muộn nghiêm trọng có thể được quản lý hiệu quả bằng bình xịt dự phòng của mancozeb ở mức 0,25% sau đó là cymoxanil+mancozeb hoặc dimethomorph+mancozeb ở mức 0,3% khi bắt đầu bệnh và thêm một bình xịt",https://www.ag.ndsu.edu/publications/crops/late-blight-in-potato/figure-2-opt.jpeg/@@images/dfe1e0b4-08d4-404a-8e66-474de72b1e91.jpeg
23,Khoai tây: khỏe mạnh,"Nhiều khoai tây cần độ ẩm phù hợp để phát triển, vì vậy nước thường xuyên hàng ngày khi củ thiết lập. Khi bạn, nước, các cây khoai tây, nó sẽ đạt đến tầng trệt khoảng 8-10 inch. Trong mùa nóng hoặc ấm tưới, cây khoai tây với số lượng lớn hai lần một ngày khi đất khô nhanh.","Đóng gói với chất dinh dưỡng. Chia sẻ trên Pinterest.
Chứa chất chống oxy hóa. Khoai tây rất giàu các hợp chất như flavonoid, carotenoid và axit phenolic (4).
Có thể cải thiện kiểm soát lượng đường trong máu.
Có thể cải thiện sức khỏe tiêu hóa.
Tự nhiên không có gluten.
Vô cùng lấp đầy.
Vô cùng linh hoạt.",https://www.garden.eco/wp-content/uploads/2018/06/can-you-eat-potato-leaves.jpg
24,Raspberry: khỏe mạnh,"Nước một inch mỗi tuần từ mùa xuân cho đến sau khi thu hoạch. Tưới nước thường xuyên tốt hơn so với ngâm sâu không thường xuyên. Giữ cho Bushes Raspberry của bạn gọn gàng bằng cách đào bất kỳ �Suckers� hoặc gậy phát triển cách xa các hàng; Nếu bạn không đào chúng, chúng sẽ rút các chất dinh dưỡng đi và bạn sẽ có ít quả mọng hơn vào năm tới.","Họ cung cấp kali, cần thiết cho chức năng tim và được chứng minh là giảm huyết áp. Các axit béo omega-3 trong quả mâm xôi có thể giúp ngăn ngừa đột quỵ và bệnh tim. Chúng cũng chứa một khoáng chất gọi là mangan, cần thiết cho xương và da khỏe mạnh và giúp điều chỉnh lượng đường trong máu.",https://www.gardeningknowhow.com/wp-content/uploads/2009/04/raspberry.jpg
25,Đậu tương: khỏe mạnh,Tiếp tục trồng giường ẩm đều cho đến khi đậu nành đẩy qua đất. Nước thường xuyên trong quá trình ra hoa và hình thành vỏ. Tránh tưới nước trên cao có thể khiến hoa và vỏ rơi ra. Mulch khi đất ấm lên hơn 60�F (16�C) để bảo tồn độ ẩm của đất.,"Chất xơ cao
nhiều protein
ít chất béo bão hòa
Cholesterol miễn phí
miễn phí đường sữa
một nguồn axit béo omega-3 tốt
nguồn chất chống oxy hóa
cao trong phytoestrogen.",https://upload.wikimedia.org/wikipedia/commons/a/ac/Soybean_leaves.jpg
26,Squash: Powdery Ordew,"Các đốm phấn trắng có thể hình thành trên cả bề mặt lá trên và dưới, và nhanh chóng mở rộng thành các đốm lớn.
Bột nấm mốc làm suy yếu cây và trái cây chín sớm. Trái cây ít hơn và nhỏ hơn trên thực vật bị nhiễm bệnh.
Trong điều kiện ấm áp, khô ráo, các bào tử mới hình thành và dễ dàng lây lan bệnh.
Các triệu chứng của bệnh phấn trắng lần đầu tiên xuất hiện vào giữa đến cuối mùa hè ở Minnesota.
Cung cấp chuyển động không khí tốt xung quanh thực vật thông qua khoảng cách thích hợp, đặt cược thực vật và kiểm soát cỏ dại.
Nếu các giống mẫn cảm đang phát triển ở một khu vực mà bệnh phấn trắng đã dẫn đến mất năng suất trong quá khứ, có thể cần phải dùng thuốc diệt nấm.","Kết hợp một muỗng cà phê baking soda và một nửa muỗng cà phê chất lỏng, xà phòng không thay đổi với một gallon nước và phun hỗn hợp tự do lên cây. Nước súc miệng. Rà nếu bạn có thể sử dụng hàng ngày để tiêu diệt vi trùng trong miệng của bạn cũng có thể có hiệu quả trong việc tiêu diệt các bào tử nấm mốc.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/powdery-mildew-2.jpg?itok=Un68av52
27,Dâu tây: Lá ghi âm,"Các triệu chứng của Lá Scardch rất giống với giai đoạn đầu của điểm lá (Mycosphaerella) phổ biến, với các đốm tím tối không đều nằm rải rác trên bề mặt lá trên. Khi các điểm phóng to, chúng bắt đầu trông giống như những giọt tar, và thực sự là sự tích lũy của các cơ thể quả đen (acervuli) của nấm. Các trung tâm của các điểm vẫn là màu tím (ở điểm lá Mycosphaerella chúng có màu trắng) và không có đường viền tổn thương được xác định rõ. Trong các bệnh nhiễm trùng nặng, các vùng này kết hợp lại và mô giữa các tổn thương thường có màu đỏ tía sang màu đỏ sáng phụ thuộc vào giống cây trồng, nhiệt độ hoặc các yếu tố khác. Những chiếc lá cuối cùng chuyển sang màu nâu, khô và cong ở lề tạo cho chiếc lá một vẻ ngoài thiêu đốt. Việc kiểm tra hình thái acervuli và conidial có thể giúp phân biệt giữa đốm lá và vết cháy lá ở giai đoạn tiến triển của bệnh này. Trên các bề mặt lá trên của tổn thương cháy lá, acervuli tối với khối bào tử lấp lánh và apothecia tối. Các tổn thương cuống lá là thon dài, chìm, với một màu nâu đến nâu và có thể giết chết chiếc lá bằng cách làm bánh cuống lá. Người chạy, thân cây, trái cây và mũ cũng có thể bị nhiễm bệnh. Thực vật có thể trở nên suy yếu và số lượng và sức sống của vương miện giảm. Nhiễm trùng có xu hướng thực vật đến mùa đông và căng thẳng hạn hán. Trong sự phá hoại nghiêm trọng, hoa và trái cây có thể chết.","Mặc dù lá cây trên cây dâu tây có thể gây khó chịu, nhưng có một số chiến lược mà những người làm vườn tại nhà có thể sử dụng để giúp ngăn chặn sự lây lan của nó trong vườn. Các phương tiện chính của kiểm soát scorch lá dâu tây phải luôn luôn là phòng ngừa. Vì mầm bệnh nấm này vượt qua những chiếc lá rơi của cây bị nhiễm bệnh, vệ sinh vườn thích hợp là chìa khóa. Điều này bao gồm việc loại bỏ các mảnh vụn trong vườn bị nhiễm bệnh khỏi miếng dâu tây, cũng như việc thành lập thường xuyên của cấy ghép dâu tây mới. Việc tạo ra các đồn điền mới và các mảng dâu tây là chìa khóa để duy trì một vụ thu hoạch dâu tây nhất quán, vì thực vật cũ có nhiều khả năng có dấu hiệu nhiễm trùng nặng.",https://content.ces.ncsu.edu/media/images/17531_IMG_2126.JPG
28,Dâu: khỏe mạnh,"Tìm cho họ một điểm nắng vì họ yêu và cần rất nhiều ánh sáng. Tôi thích một nơi họ nhận được ánh nắng mặt trời buổi sáng.
Nếu bạn có chúng trong chậu và/hoặc các thùng chứa khác, thật tốt khi di chuyển chúng trong ngày để tận dụng ánh sáng mặt trời.
Chúng là những cây khát. Tưới nước cho họ hàng ngày, đặc biệt là nếu chúng đang sản xuất trái cây. Tốt nhất là làm điều đó vào buổi sáng và tránh làm ướt lá để phòng ngừa bệnh.
Giữ chúng được bảo vệ khỏi điều kiện thời tiết khắc nghiệt và gió. Xin lưu ý rằng ngay cả khi họ thích ánh sáng mặt trời, việc tiếp xúc với ánh sáng mặt trời giữa trưa trực tiếp cũng có thể gây hại.
Kiểm tra các chậu cho thoát nước tốt.
Giữ cỏ dại và thực vật không mong muốn trong kiểm tra.
Bạn cần phải thụ tinh cho họ vì chúng cần nhiều năng lượng để sản xuất dâu tây. Mua một phân bón cân bằng (10-10-10, 12-12-12, v.v.). Thực hiện theo các hướng dẫn vì phân bón quá nhiều có thể làm giảm năng suất trái cây và nó cũng có thể kích thích sản xuất người chạy.","Hình bóng hình trái tim của dâu là manh mối đầu tiên mà trái cây này tốt cho bạn. Những gói nhỏ mạnh mẽ này bảo vệ trái tim của bạn, tăng cholesterol HDL (tốt), giảm huyết áp và bảo vệ chống ung thư.

Được đóng gói với vitamin, chất xơ và lượng chất chống oxy hóa đặc biệt cao được gọi là polyphenol, dâu tây là một loại thực phẩm không có natri, không béo, không chứa cholesterol, ít calo. Chúng nằm trong số 20 loại trái cây hàng đầu về khả năng chống oxy hóa và là một nguồn mangan và kali tốt. Chỉ cần một khẩu phần - khoảng tám quả dâu tây - cung cấp nhiều vitamin C hơn màu cam.",https://www.canr.msu.edu/uploads/images/7-12-11-MARK-plhstrw4.jpg
29,Cà chua: Điểm vi khuẩn,"Điểm vi khuẩn của cà chua là một căn bệnh có khả năng tàn phá, trong trường hợp nghiêm trọng, có thể dẫn đến trái cây không thể đánh giá được và thậm chí là chết thực vật.  Điểm vi khuẩn có thể xảy ra bất cứ nơi nào cà chua được trồng, nhưng được tìm thấy thường xuyên nhất ở vùng khí hậu ấm áp, ẩm ướt, cũng như trong nhà kính.  Bệnh thường là một vấn đề ở Wisconsin.Bacterial điểm có thể ảnh hưởng đến tất cả các phần trên mặt đất của cây cà chua, bao gồm lá, thân và trái cây.  Điểm vi khuẩn xuất hiện trên các lá nhỏ (nhỏ hơn? Inch), đôi khi các khu vực tròn ướt đẫm nước (tức là trông ướt).  Các đốm ban đầu có thể là màu xanh lá cây màu vàng, nhưng tối thành màu đỏ nâu khi chúng già đi.  Khi bệnh nặng, màu vàng lá rộng và mất lá cũng có thể xảy ra.  Trên trái cây màu xanh lá cây, các đốm thường nhỏ, nuôi và giống như mụn nước, và có thể có một quầng sáng màu vàng.  Khi trái cây trưởng thành, các điểm phóng to (đạt kích thước tối đa � inch) và chuyển sang màu nâu, vảy và thô.  Các điểm trưởng thành có thể được nâng lên, hoặc chìm với các cạnh nâng lên.","Hạt hoặc cấy ghép không có mầm bệnh để ngăn chặn sự ra đời của mầm bệnh điểm vi khuẩn trên hạt hoặc cây con bị ô nhiễm.  Nếu một nguồn hạt sạch không có sẵn hoặc bạn nghi ngờ rằng hạt của bạn bị ô nhiễm, hãy ngâm hạt trong nước ở mức 122�F trong 25 phút. để giết các mầm bệnh.  Để giữ cho lá khô và để ngăn chặn sự lây lan của các mầm bệnh, tránh tưới nước trên cao (ví dụ: với một cây đũa phép hoặc vòi phun) của các cây đã được thiết lập và thay vào đó sử dụng một bình nhỏ giọt hoặc-nắm.  Ngoài ra để ngăn chặn sự lây lan, không xử lý thực vật khi chúng bị ướt (ví dụ: từ sương) và thường xuyên khử trùng các công cụ với dung dịch tẩy trắng 10% hoặc (tốt hơn) 70% rượu (ví dụ, xoa rượu).  Trường hợp điểm vi khuẩn là một vấn đề định kỳ, hãy xem xét sử dụng các ứng dụng phòng ngừa của các sản phẩm dựa trên đồng được đăng ký sử dụng trên cà chua, đặc biệt là trong thời kỳ ấm áp, ẩm ướt.  Tuy nhiên, hãy nhớ rằng nếu được sử dụng quá mức hoặc trong thời gian dài, đồng có thể không còn kiểm soát bệnh nữa.  Hãy chắc chắn đọc và làm theo tất cả các hướng dẫn nhãn của sản phẩm mà bạn chọn để đảm bảo rằng bạn sử dụng nó theo cách an toàn và hiệu quả nhất có thể.",https://www.growingproduce.com/wp-content/uploads/2019/08/bacterial_spot_tomato.jpg
30,Cà chua: Blight sớm,"Blight sớm là một trong những bệnh cà chua phổ biến nhất, xảy ra gần như mỗi mùa ở bất cứ nơi nào cà chua được trồng.
Nó ảnh hưởng đến lá, trái cây và thân cây và có thể hạn chế sản lượng nghiêm trọng khi sử dụng các giống mẫn cảm và thời tiết là thuận lợi.
Độ rụng nghiêm trọng có thể xảy ra và dẫn đến kem chống nắng trên trái cây.
Blight sớm là phổ biến trong cả sản xuất cà chua trong lĩnh vực và đường hầm cao ở Minnesota.","Cắt tỉa hoặc đặt cược cây để cải thiện lưu thông không khí và giảm các vấn đề về nấm.
Hãy chắc chắn khử trùng kéo cắt tỉa của bạn (một phần tẩy trắng đến 4 phần nước) sau mỗi lần cắt.
Giữ đất dưới thực vật sạch sẽ và không có mảnh vụn trong vườn. Thêm một lớp phân hữu cơ để ngăn chặn các bào tử tăng vọt lên trên thảm thực vật.
Thủy lợi nhỏ giọt và ống Soaker có thể được sử dụng để giúp giữ cho tán lá khô ráo.
Để kiểm soát tốt nhất, hãy áp dụng các loại thuốc diệt nấm dựa trên đồng sớm, hai tuần trước khi bệnh thường xuất hiện hoặc khi dự báo thời tiết dự đoán một thời gian dài của thời tiết ẩm ướt. Ngoài ra, bắt đầu điều trị khi bệnh xuất hiện lần đầu tiên và lặp lại cứ sau 7-10 ngày miễn là cần thiết.
Chứa đồng và pyrethrins, Bonide� Garden Dust là một biện pháp kiểm soát một bước an toàn cho nhiều cuộc tấn công côn trùng và các vấn đề về nấm. Để có kết quả tốt nhất, hãy che cả hai ngọn và mặt dưới của lá với một màng hoặc bụi đồng nhất mỏng. Tùy thuộc vào mật độ tán lá, 10 oz sẽ bao gồm các ứng dụng lặp lại 625 m2.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/large/public/early-blight-leaf-tomato.jpg?itok=woYQQlrF
31,Cà chua: Blight muộn,"BLIGHT muộn là do Oomycete Phytophthora Infestans. Oomycetes là những sinh vật giống như nấm cũng được gọi là khuôn nước, nhưng chúng không phải là nấm thực sự.
Có nhiều chủng P. infestans khác nhau. Chúng được gọi là dòng dõi vô tính và được chỉ định bởi một mã số (nghĩa là US-23). Nhiều dòng dõi vô tính ảnh hưởng đến cả cà chua và khoai tây, nhưng một số dòng dõi đặc trưng cho một vật chủ hoặc một cái khác. Bệnh tật là một bệnh có khả năng tàn phá cà chua và khoai tây, lây nhiễm lá, thân và trái cây của cây cà chua.
Bệnh lan nhanh trên các cánh đồng và có thể dẫn đến thất bại toàn bộ nếu không được điều trị.
BLIGHT muộn của khoai tây chịu trách nhiệm cho nạn đói khoai tây Ailen vào cuối những năm 1840.","Vệ sinh là bước đầu tiên trong việc kiểm soát cà chua muộn. Làm sạch tất cả các mảnh vụn và trái cây rơi từ khu vực vườn. Điều này đặc biệt cần thiết ở các khu vực ấm hơn, nơi đóng băng kéo dài là không thể và bệnh cà chua blight muộn có thể đan xen trong quả sa ngã. Hiện tại, không có chủng cà chua có sẵn để chống lại bệnh mưa cà chua muộn, vì vậy thực vật nên được kiểm tra ít nhất hai lần một tuần. Vì các triệu chứng bệnh hoạn muộn có nhiều khả năng xảy ra trong điều kiện ẩm ướt, nên được chăm sóc nhiều hơn trong những thời điểm đó. Đối với người làm vườn tại nhà, thuốc diệt nấm có chứa Maneb, Mancozeb, chlorothanolil hoặc đồng cố định có thể giúp bảo vệ cây khỏi bệnh hoạn muộn. Các ứng dụng lặp đi lặp lại là cần thiết trong suốt mùa sinh trưởng vì căn bệnh này có thể tấn công bất cứ lúc nào. Đối với những người làm vườn hữu cơ, có một số sản phẩm đồng cố định được phê duyệt để sử dụng; Mặt khác, tất cả các nhà máy bị nhiễm bệnh phải được loại bỏ và phá hủy ngay lập tức.","https://www.canr.msu.edu/contentAsset/image/e97d1ef0-5b55-49b0-ab4e-c57dcbeca65e/fileAsset/filter/Resize,Jpeg/resize_w/750/jpeg_q/80"
32,Cà chua: khuôn lá,"Khuôn lá cà chua là một bệnh nấm có thể phát triển khi có thời gian ẩm ướt của lá và độ ẩm tương đối cao (lớn hơn 85 %). Do nhu cầu độ ẩm này, căn bệnh này được nhìn thấy chủ yếu ở các nhà nghiên cứu và nhà kính. Khuôn lá cà chua có thể phát triển trong nhiệt độ đầu mùa xuân (50,9 độ Fahrenheit) hoặc những đặc điểm của mùa hè (90 F). Các khuôn lá cà chua nhiệt độ tối ưu là ở những năm 70 thấp.

Các triệu chứng của bệnh bao gồm các đốm vàng trên bề mặt lá trên. Có thể nhìn thấy khối lượng của các bào tử màu xanh ô liu rời rạc ở mặt dưới của lá bị ảnh hưởng.","Khi xử lý cây cà chua bằng thuốc diệt nấm, hãy chắc chắn bao phủ tất cả các khu vực của cây nằm trên đất, đặc biệt là mặt dưới của lá, nơi bệnh thường hình thành. Thuốc xịt dựa trên canxi clorua được khuyến nghị để điều trị các vấn đề nấm mốc. Tùy chọn thuốc diệt nấm hữu cơ cũng có sẵn.",https://www.gardeningknowhow.com/wp-content/uploads/2018/04/tomato-leaf-mold-400x300.jpg
33,Cà chua: Điểm lá Septoria,"Điểm lá Septoria được gây ra bởi một loại nấm, Septoria Lycopersici. Đây là một trong những bệnh phá hoại nhất của tán lá cà chua và đặc biệt nghiêm trọng ở những khu vực mà thời tiết ẩm ướt, ẩm ướt vẫn tồn tại trong thời gian dài. Điểm lá thường xuất hiện ở những chiếc lá dưới sau các bộ trái cây đầu tiên. Các điểm có hình tròn, đường kính khoảng 1/16 đến 1/4 inch với lề màu nâu sẫm và các trung tâm màu nâu đến xám với các cấu trúc quả nhỏ màu đen. Đặc trưng, ​​có nhiều điểm trên mỗi lá. Bệnh này lây lan lên từ tăng trưởng lâu đời nhất đến trẻ nhất. Nếu tổn thương lá rất nhiều, lá chuyển sang hơi vàng, sau đó là màu nâu, rồi khô héo. Nhiễm trùng trái cây là hiếm.","Loại bỏ lá bị bệnh. 
Cải thiện lưu thông không khí xung quanh cây.
Mulch xung quanh gốc cây. Mulching sẽ làm giảm đất bắn tung tóe, có thể chứa các bào tử nấm liên quan đến các mảnh vụn. Áp dụng mùn sau khi đất đã ấm lên.
Không sử dụng tưới nước trên cao. Tưới nước trên cao tạo điều kiện cho nhiễm trùng và lây lan bệnh. Sử dụng một vòi soaker ở gốc cây để giữ cho tán lá khô ráo. Tưới nước sớm trong ngày.
Kiểm soát cỏ dại. Nightshade và Horsenettle thường xuyên là vật chủ của Spot Lá Septoria và nên bị xóa sổ xung quanh khu vườn.
Sử dụng luân canh cây trồng. Năm tới không trồng cà chua trở lại ở cùng một vị trí mà cà chua bị bệnh phát triển. Đợi 1 năm trước khi trồng cà chua ở những khu vực này.
Sử dụng thuốc xịt nấm.",https://www.missouribotanicalgarden.org/portals/0/Gardening/Gardening%20Help/images/Pests/Septoria_Leaf_Spot_of_Tomato187.jpg
34,Cà chua: Nhện ve | Nhện hai đốm,"Con ve nhện hai đốm là loài ve phổ biến nhất tấn công cây trồng rau và trái cây ở New England. Mạt nhện có thể xảy ra trong cà chua, cà tím, khoai tây, cây nho như dưa, dưa chuột và các loại cây trồng khác. Con nhện hai đốm là một trong những loài gây hại quan trọng nhất của cà tím. Chúng có tối đa 20 thế hệ mỗi năm và được ưa chuộng bởi các điều kiện nitơ và khô và bụi quá mức. Sự bùng phát thường được gây ra bởi việc sử dụng thuốc trừ sâu phổ rộng, gây trở ngại cho nhiều kẻ thù tự nhiên giúp quản lý quần thể mite. Như với hầu hết các loài gây hại, việc bắt gặp vấn đề sớm sẽ có nghĩa là kiểm soát dễ dàng hơn.","Tránh những cánh đồng cỏ dại và không trồng cà tím liền kề với cây trồng thức ăn thô xanh.
Tránh đầu mùa, các ứng dụng thuốc trừ sâu phổ rộng cho các loài gây hại khác.
Không quá thụ tinh.
Thủy lợi trên cao hoặc thời gian mưa kéo dài có thể giúp giảm dân số.",https://entomology.ca.uky.edu/files/styles/panopoly_image_original/public/310a.jpg?itok=XNlP0H9H
35,Cà chua: Target Spot,"Bệnh bắt đầu trên những chiếc lá cũ hơn và lây lan lên trên. Các dấu hiệu đầu tiên là các điểm có hình không đều (dưới 1 mm) với biên độ màu vàng. Một số điểm mở rộng tới 10 mm và hiển thị các vòng đặc điểm, do đó tên của ""điểm mục tiêu"". Trải sang tất cả các tờ rơi và đến các lá khác là nhanh chóng, khiến lá chuyển sang màu vàng, sụp đổ và chết. Điểm cũng xảy ra trên thân cây. Chúng dài và mỏng. Các đốm nâu nhạt với lề tối cũng có thể xảy ra trên trái cây.
Các bào tử được lan truyền bởi mưa gió thổi, và nếu thời tiết ẩm ướt có gió tiếp tục trong vài ngày, sự lan rộng rất nhanh và thực vật bị mất lá nhanh chóng.","Kiểm soát văn hóa là quan trọng. Điều sau đây nên được thực hiện:
Không trồng cây trồng mới bên cạnh những cây cũ có bệnh.
Trồng càng xa càng tốt từ đu đủ, đặc biệt là nếu lá có điểm góc nhỏ (ảnh 5).
Kiểm tra tất cả các cây con trong vườn ươm, và vứt bỏ bất kỳ điểm nào với các đốm lá.
Loại bỏ một vài nhánh khỏi phần dưới của cây để cho phép luồng không khí tốt hơn ở gốc
Hủy bỏ và đốt các lá dưới ngay khi bệnh được nhìn thấy, đặc biệt là sau khi các vì kèo trái cây thấp hơn đã được chọn.
Giữ các lô không có cỏ dại, vì một số có thể là vật chủ của nấm.
Không sử dụng tưới tiêu trên cao; Nếu không, nó sẽ tạo ra các điều kiện cho sản xuất bào tử và nhiễm trùng.
Thu thập và đốt càng nhiều cây trồng càng tốt khi thu hoạch hoàn thành.
Thực hành luân canh cây trồng, để lại 3 năm trước khi trồng cà chua trên cùng một vùng đất.",https://barmac.com.au/wp-content/uploads/sites/3/2016/01/Target-Spot-Tomato1.jpg
36,Cà chua: Virus uốn lá vàng,"Virus Curl lá cà chua là một loài trong chi Begomovirus và gia đình Geminiviridae. Nhiễm virus lá màu vàng cà chua (TYLCV) gây ra các triệu chứng nghiêm trọng trên cây cà chua và gây tổn thất năng suất nghiêm trọng trên toàn thế giới. TYLCV được truyền liên tục bởi con ruồi trắng ngọt, Bemisia Tabaci (Gennadius). Các giống cây trồng và giống lai với một hoặc một vài gen có khả năng kháng TylCV thường được trồng để giảm thiểu tổn thất do TYLCV gây ra. Những kiểu gen kháng này (giống hoặc giống lai) không miễn dịch với TYLCV. Chúng thường phát triển nhiễm trùng hệ thống, hiển thị các triệu chứng nhẹ và tạo ra cà chua có thể tiếp thị nhiều hơn so với các kiểu gen dễ bị ảnh hưởng dưới áp lực TYLCV. Trong một số hệ thống bệnh lý, sử dụng rộng rãi các giống cây chống chống lại gen-điện kháng duy nhất.",Chỉ sử dụng cấy ghép cà chua và hạt tiêu không có chu vi. Cấy ghép nên được điều trị bằng cách bắt giữ (bifenthrin) hoặc nọc độc (dinotefuran) cho người trưởng thành ruồi trắng và oberon cho trứng và nữ thần. Imidacloprid hoặc thiamethoxam nên được sử dụng trong các nhà cấy ghép ít nhất bảy ngày trước khi vận chuyển. Imidacloprid nên được phun trên toàn bộ cây và bên dưới lá; Trứng và ruồi thường được tìm thấy bên dưới lá. Xịt cứ sau 14-21 ngày và xoay trên cơ sở hàng tháng với abamectin để những con bướm trắng không tích tụ kháng với hóa chất.,https://gd.eppo.int/media/data/taxon/T/TYLCV0/pics/1024x0/10609.jpg
37,Cà chua: Virus khảm,"Virus khảm cà chua (TomV) và virus khảm thuốc lá (TMV) khó phân biệt.
Virus khảm cà chua (TOMV) có thể gây vàng và còi cọc của cây cà chua dẫn đến mất giá đỡ và giảm năng suất.
TomV có thể gây ra sự chín không đồng đều của trái cây, giảm năng suất.
Virus khảm thuốc lá (TMV) từng được cho là phổ biến hơn trên cà chua. 
TMV thường là một mầm bệnh thuốc lá nhiều hơn một mầm bệnh cà chua. Màu sáng và màu xanh đậm trên lá.
Lá cà chua non có lốm đốm sáng và màu xanh đậm, phát triển còi cọc, lá cuộn tròn và dị dạng.
Các triệu chứng virus khảm của thuốc lá trên cây con cà chua
Nếu thực vật bị nhiễm sớm, chúng có thể xuất hiện màu vàng và tổng thể còi cọc.
Lá có thể được cuộn tròn, dị dạng hoặc giảm kích thước.","Sử dụng hạt giống không bị bệnh được chứng nhận hoặc xử lý hạt giống của riêng bạn.
Ngâm hạt trong dung dịch 10% của trisodium phosphate (NA3PO4) trong ít nhất 15 phút.
Hoặc làm nóng hạt khô đến 158 F và giữ chúng ở nhiệt độ đó trong hai đến bốn ngày.
Mua cấy ghép chỉ từ các nguồn có uy tín. Hỏi về các quy trình vệ sinh họ sử dụng để ngăn ngừa bệnh tật.
Kiểm tra cấy ghép trước khi mua. Chỉ chọn cấy ghép cho thấy không có triệu chứng rõ ràng.
Tránh trồng trong các cánh đồng nơi có các mảnh vụn rễ cà chua, vì virus có thể tồn tại lâu dài trong rễ.
Rửa tay bằng xà phòng và nước trước và trong quá trình xử lý thực vật để giảm khả năng lây lan giữa các nhà máy.",http://ucanr.edu/blogs/dirt/blogfiles/71403_original.jpg
38,Cà chua: khỏe mạnh,"Bón phân một tuần trước cũng như vào ngày trồng. Họ đặc biệt yêu thích phốt pho, thúc đẩy sự hình thành hoa và trái cây hoặc rau quả phát triển từ chúng. Tránh nitơ cao khi cây cà chua của bạn có hoa vì nó thúc đẩy sự phát triển của cây nho thay vì phát triển trái cây. Không phải là cây cà chua.","Cà chua (Solanum lycopersicum) là một loại trái cây từ gia đình Nightshade có nguồn gốc từ Nam Mỹ.

Mặc dù thực vật là một loại trái cây, nó thường ăn và chuẩn bị như một loại rau.

Cà chua là nguồn chế độ ăn uống chính của lycopene chống oxy hóa, có liên quan đến nhiều lợi ích sức khỏe, bao gồm giảm nguy cơ mắc bệnh tim và ung thư.

Chúng cũng là một nguồn tuyệt vời của vitamin C, kali, folate và vitamin K.",https://cdn8.dissolve.com/p/D869_27_632/D869_27_632_1200.jpg
